plate,well,site,compound,path,moa
P015098,B23,s1,CBK307964,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2/2022-03-25/983/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_B23_s1_w685ACF994-3890-4253-A8C3-9565CEEB3A4F.npy,tubulin polymerization inhibitor
P015098,M18,s1,CBK200945,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2/2022-03-25/983/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_M18_s1_w669A01E72-B94B-4A06-9E6A-EDFDFC5C5674.npy,tubulin polymerization inhibitor
P015094,D03,s2,CBK308108,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015094-U2OS-48h-P10-L1-TL-run2/2022-03-24/982/specs935-v1-FA-P015094-U2OS-48h-P10-L1-TL-run2_D03_s2_w60CB99DF9-9CFC-4D75-84E0-BD40B1F5428B.npy,PARP inhibitor
P015099,J19,s1,CBK309391,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL/2022-03-31/994/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_J19_s1_w6B9AAD5E7-12B6-43AD-9E77-8EC66B52249F.npy,tubulin polymerization inhibitor
P015091,D15,s1,CBK278556G,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015091-U2OS-48h-P8-L2-TL/2022-03-18/976/specs935-v1-FA-P015091-U2OS-48h-P8-L2-TL_D15_s1_w662F2FF87-6EE6-4587-BBFF-5643B07B889D.npy,HSP inhibitor
P015099,L22,s3,CBK290588,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL/2022-03-31/994/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_L22_s3_w6BF4EFA50-6FA1-4B4F-A03F-A9302A876922.npy,retinoid receptor agonist
P015098,F06,s3,CBK289882,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2/2022-03-25/983/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_F06_s3_w69DA1E430-2946-4243-BB50-B4C2792B0148.npy,retinoid receptor agonist
P015092,F19,s3,CBK290717,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015092-U2OS-48h-P9-L1-TL-run2/2022-03-23/981/specs935-v1-FA-P015092-U2OS-48h-P9-L1-TL-run2_F19_s3_w614CB6D7B-158E-4892-8A83-51216FEC4134.npy,JAK inhibitor
P015098,C13,s2,CBK041506,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2/2022-03-25/983/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_C13_s2_w6A390989E-6C7D-431E-B2C6-F45110D4D64D.npy,topoisomerase inhibitor
P015098,E06,s4,CBK011613,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2/2022-03-25/983/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_E06_s4_w63449B8F7-F6A6-4A8F-8D8C-07B51BA74561.npy,retinoid receptor agonist
P015099,G08,s4,CBK309538,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL/2022-03-31/994/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_G08_s4_w67D899171-B13E-499B-95DC-7EDDC855C506.npy,protein synthesis inhibitor
P015090,O05,s2,CBK277934,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL/2022-03-29/989/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_O05_s2_w634CD69B1-0C7B-48E4-A75E-9DA570AC37C7.npy,HSP inhibitor
P015085,K14,s1,CBK041779,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL/2022-03-16/974/specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_K14_s1_w6E95505F1-86B6-40F6-BAF7-1D966ED51130.npy,ATPase inhibitor
P015093,K10,s1,CBK293875,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015093-U2OS-48h-P9-L2-TL/2022-04-01/995/specs935-v1-FA-P015093-U2OS-48h-P9-L2-TL_K10_s1_w64890CD70-978C-4834-9B6C-2367AAF55824.npy,JAK inhibitor
P015084,D10,s4,CBK290684,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015084-U2OS-48h-P5-L1-TL/2022-03-15/973/specs935-v1-FA-P015084-U2OS-48h-P5-L1-TL_D10_s4_w6B9B02883-AE20-4784-AEF0-AA0D34000502.npy,Aurora kinase inhibitor
P015090,J09,s2,CBK261295,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL/2022-03-29/989/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_J09_s2_w69768D78D-6967-477C-BAD9-35B0F3C898F4.npy,HDAC inhibitor
P015084,O21,s3,CBK291084,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015084-U2OS-48h-P5-L1-TL/2022-03-15/973/specs935-v1-FA-P015084-U2OS-48h-P5-L1-TL_O21_s3_w604594572-24AB-4C78-9233-347CF78F9342.npy,ATPase inhibitor
P015098,I02,s2,CBK308359,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2/2022-03-25/983/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_I02_s2_w6E9D0A0C0-28F9-470D-8CE4-84F823B948EC.npy,tubulin polymerization inhibitor
P015085,C23,s2,CBK288285,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL/2022-03-16/974/specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_C23_s2_w67634477D-E246-4CEE-98A1-FD53DB3A0C96.npy,Aurora kinase inhibitor
P015090,C15,s5,CBK308260,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL/2022-03-29/989/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_C15_s5_w675A91183-2374-49B3-B1F2-B6AC4C4DF779.npy,HDAC inhibitor
P015081,N19,s4,CBK200949,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015081-U2OS-48h-P3-L2-TL/2022-03-08/959/specs935-v1-FA-P015081-U2OS-48h-P3-L2-TL_N19_s4_w67E5A48CC-D2EF-4FFA-AD96-8B7A385B8E58.npy,topoisomerase inhibitor
P015090,I15,s1,CBK289839,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL/2022-03-29/989/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_I15_s1_w668FBF792-9624-420B-8255-B17D8CDCBD3F.npy,HSP inhibitor
P015085,K09,s4,CBK288349,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL/2022-03-16/974/specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_K09_s4_w62BB550AC-E396-4EB7-93F4-E8B7761EA5D5.npy,Aurora kinase inhibitor
P015098,N18,s5,CBK309084,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2/2022-03-25/983/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_N18_s5_w634F08216-2184-47F7-9044-946D8EF72DD7.npy,topoisomerase inhibitor
P015092,G04,s4,CBK288347,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015092-U2OS-48h-P9-L1-TL-run2/2022-03-23/981/specs935-v1-FA-P015092-U2OS-48h-P9-L1-TL-run2_G04_s4_w6A645C228-F11F-4154-8D66-3DCD4FCE41DF.npy,JAK inhibitor
P015094,O14,s5,CBK308321,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015094-U2OS-48h-P10-L1-TL-run2/2022-03-24/982/specs935-v1-FA-P015094-U2OS-48h-P10-L1-TL-run2_O14_s5_w6F4AF6539-5F37-4D81-A4E2-3A091566BD07.npy,PARP inhibitor
P015082,E08,s1,CBK290538,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL/2022-03-09/960/specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL_E08_s1_w65DCBF253-0F69-4324-B6A9-B60DC4DB8D46.npy,topoisomerase inhibitor
P015090,F14,s3,CBK290481,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL/2022-03-29/989/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_F14_s3_w6B27C4690-905D-41DB-8DA9-60F7F75AFC5D.npy,HDAC inhibitor
